,26-Jun-2025
The Nifty witnessed an intraday movement of about 305.4 points.The closing index was 1.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 118579.67
, Traded Quantity (in Lakhs), 44604.74
, Number of Trades, 34221161
, Total Market Capitalisation (Rs. Crores), 45516258.62

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,99AEL29,N7,      1091.06,                     7621.12,7
,9IIFL26,NV,       996.69,                   237213.60,238
,9IIFL28A,NT,       999.30,                   143022.90,143
,9PCHFL31A,NA,      1074.95,                    64477.00,60
,9SCL26BA,NA,      1032.76,                    38172.93,37
,A2ZINFRA,BE,        19.82,                 11574125.48,567715
,AAATECH,EQ,        83.38,                  1418291.22,16887
,AADHARHFC,EQ,       444.00,                153206133.30,346045
,AAKASH,BE,        11.50,                  2912720.24,252603
,AAREYDRUGS,BE,        64.75,                 13109186.90,203034
,AARON,EQ,       363.50,                  5442669.15,14845
,AARTECH,EQ,        73.07,                 16133716.97,222596
,AARTIDRUGS,EQ,       445.40,                168133002.65,370764
,AARTIIND,EQ,       475.90,                718510029.05,1516181
,AARTIPHARM,EQ,       872.85,                294606859.65,337101
,AARTISURF,BE,       551.55,                  2260821.40,4077
,AARVEEDEN,BE,       150.15,                  3451533.47,23039
,AARVI,EQ,       111.03,                   480146.31,4321
,AATMAJ,SM,        19.65,                    78400.00,4000
,AAVAS,EQ,      1942.60,                586305368.60,301739
,ABAN,EQ,        56.72,                  6866178.17,119308
,ABBOTINDIA,EQ,     33055.00,               1007828915.00,30735
,ABCAPITAL,EQ,       276.80,               2156099419.86,7848468
,ABCOTS,SM,       423.70,                  2022787.50,4750
,ABDL,EQ,       435.25,                217282978.10,501072
,ABFRL,EQ,        74.39,                451599998.46,6089378
,ABGSEC,EQ,       109.99,                    70658.51,645
,ABHAPOWER,ST,        29.60,                    47360.00,1600
,ABINFRA,BE,       158.79,                 24947762.51,158179
,ABLBL,BE,       152.41,                472394103.86,3071024
,ABMINTLLTD,EQ,        64.37,                   921002.29,14393
,ABREL,EQ,      2334.50,                174365249.70,74240
,ABSLAMC,EQ,       777.10,                115775236.95,149204
,ABSLBANETF,EQ,        58.00,                  2260154.01,39065
,ABSLLIQUID,EQ,      1000.00,                  2227003.65,2227
,ABSLNN50ET,EQ,        71.09,                   731186.09,10320
,ABSLPSE,EQ,        10.18,                  7626667.91,749947
,ABSMARINE,ST,       197.10,                  2168100.00,11000
,ACC,EQ,      1881.70,               1007219719.40,538191
,ACCELYA,EQ,      1411.00,                  6627184.00,4695
,ACCENTMIC,SM,       230.00,                  3240725.00,14000
,ACCORD,SM,        22.10,                   132500.00,6000
,ACCPL,SM,        69.35,                  1682700.00,24000
,ACCURACY,EQ,         8.76,                  1946100.54,222520
,ACE,EQ,      1224.30,                122919357.50,100707
,ACEINTEG,EQ,        25.73,                   104535.04,4046
,ACI,EQ,       631.05,                 95514353.10,149964
,ACL,EQ,        66.52,                  2476335.39,37195
,ACLGATI,EQ,        67.84,                 19356931.13,284510
,ACMESOLAR,EQ,       246.50,                170756997.35,683531
,ACTIVEINFR,SM,       170.00,                   204000.00,1200
,ACUTAAS,EQ,      1105.70,                612588527.30,567403
,ADFFOODS,EQ,       279.86,                 11520541.51,41222
,ADL,BE,        93.09,                   361407.57,3865
,ADOR,EQ,      1007.50,                 13998404.10,13778
,ADROITINFO,EQ,        10.96,                   227793.19,20616
,ADSL,EQ,       185.27,                 18883263.51,101710
,ADVANIHOTR,EQ,        61.11,                  2385576.01,38969
,ADVENZYMES,EQ,       324.55,                 70780799.30,216245
,AEGISLOG,EQ,       825.40,               1782272947.05,2157366
,AEGISVOPAK,EQ,       252.22,                959513109.49,3713455
,AEROENTER,EQ,        95.84,                 27465859.23,286100
