Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
26-JUN-2025,530741,120.70,123.15,-0.0201,0.0390,0.0389,0.7432
26-JUN-2025,530745,22.67,23.13,-0.0201,0.1004,0.1002,1.9143
26-JUN-2025,530747,27.26,27.94,-0.0246,0.0399,0.0398,0.7604
26-JUN-2025,530755,10.30,9.51,0.0798,0.0467,0.0470,0.8979
26-JUN-2025,530765,22.70,21.90,0.0359,0.0507,0.0507,0.9686
26-JUN-2025,530779,32.30,31.75,0.0172,0.0314,0.0313,0.5980
26-JUN-2025,530787,76.84,75.34,0.0197,0.0255,0.0255,0.4872
26-JUN-2025,530789,193.50,193.50,0.0000,0.0391,0.0390,0.7451
26-JUN-2025,530795,18.15,18.15,0.0000,0.0319,0.0318,0.6075
26-JUN-2025,530797,24.30,24.88,-0.0236,0.0303,0.0303,0.5789
26-JUN-2025,530799,33.91,32.30,0.0486,0.0311,0.0312,0.5961
26-JUN-2025,530805,3.27,3.12,0.0470,0.1225,0.1222,2.3346
26-JUN-2025,530809,52.93,50.09,0.0551,0.0348,0.0349,0.6668
26-JUN-2025,530821,19.46,19.16,0.0155,0.0431,0.0430,0.8215
26-JUN-2025,530825,159.05,161.10,-0.0128,0.0319,0.0318,0.6075
26-JUN-2025,530829,45.43,46.37,-0.0205,0.0336,0.0336,0.6419
26-JUN-2025,530839,5.75,5.61,0.0246,0.0403,0.0403,0.7699
26-JUN-2025,530845,764.45,753.30,0.0147,0.0294,0.0293,0.5598
26-JUN-2025,530853,74.58,78.50,-0.0512,0.0326,0.0327,0.6247
26-JUN-2025,530855,8.33,8.33,0.0000,0.0009,0.0009,0.0172
26-JUN-2025,530881,6.81,6.49,0.0481,0.0359,0.0360,0.6878
26-JUN-2025,530883,14.04,13.84,0.0143,0.0354,0.0354,0.6763
26-JUN-2025,530897,155.15,153.00,0.0140,0.0288,0.0288,0.5502
26-JUN-2025,530899,74.95,77.90,-0.0386,0.0326,0.0326,0.6228
26-JUN-2025,530907,39.99,40.38,-0.0097,0.0249,0.0248,0.4738
26-JUN-2025,530909,122.95,120.65,0.0189,0.0248,0.0247,0.4719
26-JUN-2025,530917,50.00,50.00,0.0000,0.0155,0.0155,0.2961
26-JUN-2025,530921,10.21,10.21,0.0000,0.0332,0.0331,0.6324
26-JUN-2025,530925,89.95,90.00,-0.0006,0.0300,0.0299,0.5712
26-JUN-2025,530927,54.72,52.12,0.0487,0.0122,0.0127,0.2426
26-JUN-2025,530929,163.40,160.20,0.0198,0.0211,0.0211,0.4031
26-JUN-2025,530931,12.94,13.62,-0.0512,0.0316,0.0317,0.6056
26-JUN-2025,530951,93.95,98.24,-0.0447,0.0369,0.0370,0.7069
26-JUN-2025,530953,95.62,94.00,0.0171,0.0352,0.0351,0.6706
26-JUN-2025,530959,29.02,28.65,0.0128,0.0308,0.0307,0.5865
26-JUN-2025,530973,87.00,82.42,0.0541,0.0447,0.0448,0.8559
26-JUN-2025,530977,143.10,141.55,0.0109,0.0336,0.0336,0.6419
26-JUN-2025,530979,34.68,34.93,-0.0072,0.0241,0.0240,0.4585
26-JUN-2025,530991,57.49,58.00,-0.0088,0.0415,0.0414,0.7909
26-JUN-2025,530997,130.05,130.80,-0.0058,0.0333,0.0332,0.6343
26-JUN-2025,531003,69.00,69.00,0.0000,0.0412,0.0411,0.7852
26-JUN-2025,531015,25.55,26.07,-0.0201,0.0229,0.0229,0.4375
26-JUN-2025,531017,26.71,26.63,0.0030,0.0373,0.0372,0.7107
26-JUN-2025,531025,0.53,0.53,0.0000,0.0267,0.0266,0.5082
26-JUN-2025,531027,23.10,22.06,0.0461,0.0324,0.0325,0.6209
26-JUN-2025,531035,42.74,43.99,-0.0288,0.0357,0.0357,0.6820
26-JUN-2025,531041,401.30,411.95,-0.0262,0.0248,0.0248,0.4738
26-JUN-2025,531043,22.75,22.75,0.0000,0.0381,0.0380,0.7260
26-JUN-2025,531049,15.20,15.20,0.0000,0.0329,0.0328,0.6266
26-JUN-2025,531051,16.25,17.10,-0.0510,0.0342,0.0343,0.6553
26-JUN-2025,531065,27.45,26.92,0.0195,0.0157,0.0157,0.2999
26-JUN-2025,531067,29.10,27.59,0.0533,0.0360,0.0361,0.6897
26-JUN-2025,531069,877.00,891.95,-0.0169,0.0233,0.0232,0.4432
26-JUN-2025,531080,35.28,35.59,-0.0087,0.0348,0.0347,0.6629
26-JUN-2025,531083,5.65,5.52,0.0233,0.0394,0.0393,0.7508
26-JUN-2025,531091,32.80,33.98,-0.0353,0.0419,0.0418,0.7986
26-JUN-2025,531099,25.88,25.38,0.0195,0.0335,0.0335,0.6400
26-JUN-2025,531111,42.00,41.40,0.0144,0.0327,0.0326,0.6228
26-JUN-2025,531119,523.20,498.30,0.0488,0.0292,0.0293,0.5598
26-JUN-2025,531126,25.53,26.05,-0.0202,0.0268,0.0268,0.5120
26-JUN-2025,531127,7.08,7.01,0.0099,0.0531,0.0530,1.0126
26-JUN-2025,531129,19.90,20.00,-0.0050,0.0345,0.0344,0.6572
26-JUN-2025,531137,2.25,2.29,-0.0176,0.0337,0.0337,0.6438
26-JUN-2025,531144,21.94,21.50,0.0203,0.0337,0.0336,0.6419
26-JUN-2025,531153,2.10,2.06,0.0192,0.0322,0.0322,0.6152
26-JUN-2025,531155,9.45,9.00,0.0488,0.0304,0.0305,0.5827
26-JUN-2025,531156,8.87,8.93,-0.0067,0.0334,0.0333,0.6362
26-JUN-2025,531157,13.95,13.68,0.0195,0.0313,0.0313,0.5980
26-JUN-2025,531158,23.08,23.42,-0.0146,0.0336,0.0335,0.6400
26-JUN-2025,531161,163.90,167.85,-0.0238,0.0354,0.0353,0.6744
