SYMBOL,SYMBOL P/E,ADJUSTED P/E
VGUARD,53.08,53.08
NESCO,20.49,20.49
DPSCLTD,182.97,182.97
TITAGARH,41.64,41.64
BAJAJFINSV,18.33,18.33
BAJAJ-AUTO,28.43,28.43
DIGISPICE,,46.73
GOKUL,30.16,30.16
RPGLIFE,22.04,42.35
ALMONDZ,45.24,45.24
LOTUSEYE,201.24,203.08
VINYLINDIA,25.31,25.31
UBL,115.79,112.29
ZFCVINDIA,54.69,54.69
20MICRONS,13.08,12.90
JOCIL,138.83,138.83
COUNCODOS,89.35,89.35
MAWANASUG,3.69,7.55
AJMERA,29.01,29.01
MHRIL,54.40,54.40
VINATIORGA,50.48,50.48
EXCEL,179.60,179.60
ADANIPOWER,16.85,16.85
NHPC,24.92,24.92
GLOBUSSPR,119.24,119.24
OIL,10.11,10.11
EXPLEOSOL,19.52,19.52
RTNPOWER,34.10,34.10
AMRUTANJAN,41.64,41.64
SUNTECK,44.11,44.11
ZYDUSWELL,37.32,37.96
DEN,9.31,9.31
SHILPAMED,105.33,99.03
SARDAEN,22.70,22.69
REFEX,38.29,38.34
GILLANDERS,11.31,18.51
AHLUCONT,31.53,31.54
DLINKINDIA,18.42,18.42
JSWENERGY,45.27,45.27
GODREJPROP,49.16,48.20
DBCORP,13.34,13.34
HINDCOPPER,53.63,53.63
BEARDSELL,12.03,12.03
MMTC,153.84,142.65
NESTLEIND,71.74,74.88
TRF,16.46,16.46
WHIRLPOOL,48.36,49.11
UNITEDTEA,15.77,15.77
MBLINFRA,3.20,
JUBLFOOD,198.82,197.12
VASCONEQ,9.30,17.95
THANGAMAYL,49.41,49.41
EMMBI,32.81,32.81
HATHWAY,37.34,36.61
TEXMOPIPES,10.38,10.38
MANINFRA,20.21,20.21
LGBBROSLTD,13.25,14.07
PERSISTENT,68.23,68.23
ASIANHOTNR,3.72,
ISFT,14.65,14.65
KIRLOSBROS,42.55,41.95
KSL,15.08,15.08
SJVN,48.76,48.76
KIRLOSIND,13.24,13.66
MANAPPURAM,19.19,19.19
UMESLTD,82.15,82.15
TI,29.90,29.90
HMVL,8.36,8.36
IMFA,11.11,11.11
BLISSGVS,17.42,17.42
AHLEAST,14.58,14.58
IITL,89.90,89.90
BAJAJCON,22.68,22.75
PRAKASHSTL,84.82,84.82
GPPL,20.60,20.60
ADFFOODS,44.66,44.66
WELINV,104.83,104.83
WAAREEINDO,16.00,16.00
KILITCH,28.11,28.11
DEEPAKNTR,38.04,38.04
SASTASUNDR,,14.28
CPCAP,5.38,5.38
GREENPOWER,47.44,52.08
RAMKY,17.71,17.71
CANTABIL,29.16,29.16
WABAG,32.10,31.83
ASHOKA,3.41,3.41
BEDMUTHA,19.74,19.74
JWL,41.36,41.36
OBEROIRLTY,32.61,32.61
PRESTIGE,114.13,114.13
SHAH,7.56,31.65
CGCL,35.03,35.03
RESPONIND,28.23,28.23
COALINDIA,6.93,6.93
IOLCP,28.21,28.21
GRAVITA,41.62,41.62
JINDWORLD,73.96,73.96
PENIND,26.35,26.35
RPPINFRA,10.19,10.19
JAMNAAUTO,20.87,20.87
SUMEETINDS,0.21,3.57
MOIL,19.88,19.88
A2ZINFRA,118.73,111.03
KIRLOSENG,26.10,27.76
RKDL,535.05,535.05
PSB,21.22,21.22
SURANASOL,3261.20,3261.20
SHEKHAWATI,13.22,13.22
KICL,31.71,46.43
SUMMITSEC,33.37,29.22
STEL,48.57,48.57
HINDMOTORS,38.90,38.90
TEXRAIL,34.29,34.29
HFCL,72.72,72.72
LOVABLE,123.29,101.75
PFS,12.61,12.61
MUTHOOTFIN,19.31,19.31
VADILALIND,29.39,29.39
SYMPHONY,34.90,27.61
PIIND,38.19,38.19
RELAXO,61.32,61.32
OMINFRAL,34.81,34.81
VSTTILLERS,34.60,34.35
ESTER,88.76,88.14
DELPHIFX,217.70,13.42
KARMAENG,53.47,60.63
ASHIANA,192.81,152.16
DHANUKA,25.74,25.74
MAITHANALL,5.67,5.67
RUSHIL,17.24,17.93
INVENTURE,67.02,70.11
LTF,19.04,19.04
BODALCHEM,50.54,47.34
ASAHISONG,30.87,30.87
FILATEX,18.70,18.70
BROOKS,145.47,145.47
TDPOWERSYS,46.54,46.54
APLLTD,32.87,33.45
VASWANI,16.73,12.68
PGEL,74.28,74.28
PANAMAPET,11.71,11.71
PAISALO,13.99,14.04
SHAKTIPUMP,28.23,28.23
TRITURBINE,54.26,54.26
INDOTHAI,277.54,277.54
ESSARSHPNG,0.96,7.69
DSSL,19.06,19.06
JISLDVREQS,2.41,2.41
POLYMED,66.65,66.65
RUPA,20.64,20.64
VIKASECO,25.93,25.93
APLAPOLLO,65.83,65.83
KANANIIND,54.62,54.62
MINDACORP,51.14,51.14
THOMASCOTT,37.06,37.06
DBSTOCKBRO,19.53,19.53
IRFC,28.05,28.05
COMPUSOFT,117.62,117.62
RHIM,49.21,49.21
SCHNEIDER,71.14,74.90
NDL,16.19,16.19
NBCC,60.49,53.61
TBZ,18.15,18.15
VSSL,23.46,23.46
SWANENERGY,15.95,15.89
SPECIALITY,28.04,28.04
CINELINE,,34.37
SAMPANN,28.76,
RTNINDIA,102.01,102.01
THEJO,38.25,38.25
KITEX,40.77,40.77
MAYURUNIQ,16.37,16.37
ROSSELLIND,17.77,17.61
DUCON,14.27,14.27
TVSHLTD,9.00,9.00
